sub	ses	SA_Cho	SA_NAA
sub-01	ses-01	0.0611386640764842	0.107311823983088
sub-01	ses-02	0.0936863656733457	0.170903487910411
sub-02	ses-01	0.081568707915121	0.103170609727214
sub-02	ses-02	0.121045930074933	0.0525484792511389
sub-03	ses-01	0.0714083505013852	0.0944526478063367
sub-03	ses-02	0.109258437951448	0.0820866930247813
sub-04	ses-01	0.0555737907726274	0.0677614817296869
sub-04	ses-02	0.0801129818537161	0.0983411746136315
sub-05	ses-01	0.123787565583979	0.0619374283158944
sub-05	ses-02	0.0909476358226877	0.106048774540434
sub-06	ses-01	0.0354932988116892	0.073331222399391
sub-06	ses-02	0.102569020837381	0.114432395237479
sub-07	ses-01	0.0456272685944459	0.112726253038525
sub-07	ses-02	0.0687681045404533	0.0694460236295801
sub-08	ses-01	0.117564678497308	0.0821223253922291
sub-09	ses-01	0.0588086976613825	0.117222974846459
sub-09	ses-02	0.140085425607943	0.107295629355822
sub-10	ses-01	0.0847972367907836	0.092434507132076
sub-10	ses-02	0.0921057116270915	0.0812171928106042
sub-11	ses-01	0.0761807312383917	0.162433005223551
sub-11	ses-02	0.0929956025371722	0.142184726806708
sub-12	ses-01	0.126665031627854	0.133222770383978
sub-12	ses-02	0.0925783465111667	0.110505388989564
sub-14	ses-01	0.0781485999365926	0.125315081710361
sub-14	ses-02	0.061051101498189	0.082634571730673
sub-15	ses-01	0.0468395682491302	0.11904540571761
sub-15	ses-02	0.0839828987258079	0.10068645680626
sub-16	ses-01	0.0502599066525382	0.0867555843021989
sub-16	ses-02	0.0672800084684537	0.152555892869669
