sub	ses	SA_Cho	SA_NAA
sub-01	ses-01	0.204469988323833	0.122763699723274
sub-01	ses-02	0.200904436523328	0.123997891105948
sub-02	ses-01	0.0581468752137486	0.131297754175626
sub-02	ses-02	0.0351991929822255	0.062641280165485
sub-03	ses-01	0.0807563590564868	0.115017349476337
sub-03	ses-02	0.0558321218785811	0.0688451719647836
sub-04	ses-01	0.0919004917640629	0.12851210090486
sub-04	ses-02	0.0334673306771357	0.169022907424169
sub-05	ses-01	0.0408686237932794	0.294557897940913
sub-05	ses-02	0.0636492386140729	0.0629244779258819
sub-06	ses-01	0.0407615380123975	0.0947204952443762
sub-06	ses-02	0.0236150820282833	0.0758889053460125
sub-07	ses-01	0.0661308372437074	0.0625298162483899
sub-07	ses-02	0.025834451029796	0.0619068697162643
sub-08	ses-01	0.0298634579669117	0.0740214553996843
sub-08	ses-02	0.0870718244975115	0.0646272774904854
sub-09	ses-01	0.0394426084169867	0.0949245436523485
sub-09	ses-02	0.0495581771217823	0.0696664087842911
sub-10	ses-01	0.0635186099392208	0.0965671318832627
sub-10	ses-02	0.0504916983073166	0.0596341046429853
sub-11	ses-01	0.0483999475866511	0.0980533540772544
sub-11	ses-02	0.065514568985182	0.0941417411151638
sub-12	ses-01	0.0449107828543983	0.0847735772616936
sub-13	ses-01	0.0881120990631815	0.094322318081011
sub-13	ses-02	0.0500065797105782	0.0698414878498738
sub-14	ses-01	0.0337675040673647	0.422362533478612
sub-14	ses-02	0.051904188745007	0.0975655674176351
sub-15	ses-01	0.0410567112303303	0.0792344803998809
sub-15	ses-02	0.0868869813381192	0.0938534093125176
sub-16	ses-01	0.0269639123029321	0.0456553909785719
sub-16	ses-02	0.0360513837049174	0.0732749818106446
