sub	ses	SA_Cho	SA_NAA
sub-01	ses-01	0.0741336253400822	0.104745943755861
sub-01	ses-02	0.0932632365765875	0.060904872352549
sub-02	ses-01	0.0774389880760114	0.0326501298409519
sub-02	ses-02	0.0890735048024955	0.0476521015708239
sub-03	ses-01	0.0732145970799234	0.136618798959181
sub-03	ses-02	0.0349228997486462	0.0672811091387932
sub-04	ses-01	0.0503003832063245	0.0601359090731776
sub-04	ses-02	0.088486098024906	0.0675050325199381
sub-05	ses-01	0.033772490406441	0.0421232014165861
sub-05	ses-02	0.0736465269033219	0.062180168857347
sub-06	ses-01	0.0358586265332023	0.0765239374738242
sub-06	ses-02	0.0385749093173127	0.0695608747301069
sub-07	ses-01	0.0633242386562829	0.0726861145556083
sub-07	ses-02	0.0543239589980255	0.061098909502049
sub-08	ses-01	0.0819150983614093	0.0622578629866235
sub-08	ses-02	0.0514046533412087	0.054758604427465
sub-09	ses-01	0.0818240581943906	0.0756123527442894
sub-09	ses-02	0.0382054906228675	0.0643782290158485
sub-10	ses-01	0.046227954680854	0.06199271359285
sub-10	ses-02	0.0814542388057812	0.0451771273266822
sub-11	ses-01	0.056999437561643	0.0920268830251355
sub-11	ses-02	0.0779609266067073	0.078997688614529
sub-12	ses-01	0.0647189871436869	0.0715369582545054
sub-12	ses-02	0.0486364899768342	0.0676567930006137
sub-13	ses-01	0.10346765804027	0.0699252296671472
sub-13	ses-02	0.0452249410385204	0.0529052061777774
sub-15	ses-01	0.0746484992121748	0.0573632948609339
sub-15	ses-02	0.0617931374081877	0.102036967426359
sub-16	ses-01	0.0895681276781356	0.0733843957515762
sub-16	ses-02	0.0416292761890069	0.0504044324522947
